countryCode,name,item
GHA,가나,비자
GAB,가봉,선풍기
GUY,가이아나,비자
GUY,가이아나,선풍기
GMB,감비아,선풍기
GMB,감비아,비자
GTM,과테말라,비자
GRD,그레나다,비자
GRC,그리스,비자
GIN,기니,비자
GIN,기니,선풍기
GNB,기니비사우,비자
NAM,나미비아,비자
NRU,나우루,비자
NGA,나이지리아,비자
NGA,나이지리아,선풍기
SSD,남수단,비자
ZAF,남아프리카공화국,비자
NLD,네덜란드,비자
NPL,네팔,비자
NOR,노르웨이,비자
NZL,뉴질랜드,비자
NIU,니우에,선풍기
NIU,니우에,비자
NER,니제르,비자
NIC,니카라과,비자
NIC,니카라과,비자
DNK,덴마크,방한복
DNK,덴마크,비자
DOM,도미니카공화국,비자
DMA,도미니카연방,비자
DEU,독일,비자
TLS,동티모르,비자
LAO,라오스,비자
LBR,라이베리아,비자
RUS,러시아,비자
LBN,레바논,비자
LSO,레소토,비자
ROU,루마니아,비자
RWA,르완다,비자
LBY,리비아,비자
LTU,리투아니아,비자
LIE,리히텐슈타인,방한복
LIE,리히텐슈타인,비자
MDG,마다가스카르,비자
MHL,마셜제도,비자
FSM,마이크로네시아연방,비자
MWI,말라위,비자
MYS,말레이시아,비자
MLI,말리,비자
MLI,말리,선풍기
MEX,멕시코,선풍기
MEX,멕시코,비자
MCO,모나코,비자
MAR,모로코,비자
MUS,모리셔스,비자
MRT,모리타니아,비자
MOZ,모잠비크,비자
MNE,몬테네그로,선풍기
MDA,몰도바,비자
MDV,몰디브,비자
MLT,몰타,선풍기
MLT,몰타,샌들
MLT,몰타,비자
MNG,몽골,비자
MNG,몽골,방한복
MNG,몽골,담요
USA,미국,비자
MMR,미얀마,비자
VUT,바누아투,비자
BHR,바레인,비자
BRB,바베이도스,비자
VAT,교황청,비자
VAT,교황청,신앙서적
BHS,바하마,비자
BGD,방글라데시,비자
VEN,베네수엘라,비자
VNM,베트남,비자
BEL,벨기에,비자
BLR,벨라루스,비자
BLZ,벨리즈,비자
BWA,보츠와나,비자
BOL,볼리비아,비자
BDI,부룬디,비자
BFA,부르키나파소,비자
BTN,부탄,비자
BGR,불가리아,비자
BRA,브라질,비자
BRN,브루나이,비자
WSM,사모아,샌들
WSM,사모아,비자
SAU,사우디아라비아,비자
CYP,사이프러스,비자
SMR,산마리노,비자
STP,상투메프린시페,배낭
STP,상투메프린시페,비자
SEN,세네갈,선풍기
SRB,세르비아,비자
SYC,세이셸,비자
LCA,세인트 루시아,비자
VCT,세인트 빈센트 그레나딘,비자
KNA,세인트 키츠 네비스,비자
SOM,소말리아,비자
SOM,소말리아,선풍기
SLB,솔로몬제도,비자
SDN,수단,비자
SUR,수리남,비자
LKA,스리랑카,비자
SWE,스웨덴,비자
CHE,스위스,비자
ESP,스페인,비자
SVK,슬로바키아,비자
SVN,슬로베니아,비자
SYR,시리아,비자
SLE,시에라리온,비자
SGP,싱가포르,비자
ARE,아랍에미리트,비자
ARM,아르메니아,비자
ARG,아르헨티나,비자
ISL,아이슬란드,방한복
ISL,아이슬란드,방한화
ISL,아이슬란드,아이젠
ISL,아이슬란드,비자
HTI,아이티,비자
HTI,아이티,선풍기
IRL,아일랜드,비자
AZE,아제르바이잔,비자
AFG,아프가니스탄,비자
AND,안도라,비자
ALB,알바니아,비자
DZA,알제리,비자
AGO,앙골라,비자
AGO,앙골라,샌들
ATG,앤티가바부다,비자
ERI,에리트레아,비자
SWZ,에스와티니,비자
EST,에스토니아,비자
ECU,에콰도르,선풍기
ECU,에콰도르,비자
ETH,에티오피아,등산화
SLV,엘살바도르,비자
GBR,영국,비자
YEM,예멘,비자
OMN,오만,비자
AUT,오스트리아,교통 카드
AUT,오스트리아,비자
HND,온두라스,비자
JOR,요르단,비자
UGA,우간다,비자
URY,우루과이,비자
UZB,우즈베키스탄,비자
UKR,우크라이나,비자
IRQ,이라크,비자
IRN,이란,비자
ISR,이스라엘,비자
EGY,이집트,비자
IND,인도,비자
IND,인도,선풍기
IDN,인도네시아,비자
JPN,일본,비자
JAM,자메이카,비자
ZMB,잠비아,비자
GNQ,적도기니,비자
GEO,조지아,비자
CHN,중국,비자
CAF,중앙아프리카공화국,비자
DJI,지부티,비자
DJI,지부티,선풍기
ZWE,짐바브웨,비자
TCD,차드,비자
TCD,차드,방한복
CZE,체코,비자
CHL,칠레,비자
CMR,카메룬,비자
CPV,카보베르데,비자
KAZ,카자흐스탄,비자
QAT,카타르,비자
KHM,캄보디아,비자
CAN,캐나다,비자
KEN,케냐,비자
COM,코모로,선풍기
COM,코모로,비자
XKX,코소보,비자
CRI,코스타리카,비자
CIV,코트디부아르,비자
COL,콜롬비아,등산화
COL,콜롬비아,비자
COG,콩고공화국,비자
COD,콩고민주공화국,비자
CUB,쿠바,선풍기
CUB,쿠바,비자
KWT,쿠웨이트,비자
KWT,쿠웨이트,선풍기
COK,쿡제도,비자
KGZ,키르기즈스탄,비자
KIR,키리바시,비자
KIR,키리바시,선풍기
TJK,타지키스탄,비자
TZA,탄자니아,비자
THA,태국,선풍기
THA,태국,비자
TUR,튀르키예공화국,비자
TGO,토고,비자
TON,통가,비자
TKM,투르크메니스탄,비자
TUN,튀니지,비자
TTO,트리니다드토바고,비자
PAN,파나마,선풍기
PAN,파나마,비자
PRY,파라과이,비자
PAK,파키스탄,비자
PNG,파푸아뉴기니,비자
PLW,팔라우,비자
PSE,팔레스타인,비자
PER,페루,비자
POL,폴란드,비자
FRA,프랑스,비자
FIN,핀란드,비자
PHL,필리핀,비자
HUN,헝가리,비자
AUS,호주,배낭
MAC,마카오,비자
GUM,괌,샌들
GUM,괌,비자
YUG,세르비아,비자
KOR,대한민국,비자
PRI,푸에르토리코,선풍기
PRI,푸에르토리코,비자
TWN,대만,비자
